겁나다	무서워하거나 두려워하는 마음이 들다.
공포스럽다	두렵거나 무서운 느낌을 주는 데가 있다.
급박하다	곧 큰 일이 벌어질 듯이 상황이 매우 급하다.
긴박하다	마음을 놓을 수 없을 만큼 매우 다급하다.
긴장되다	마음을 놓지 못하고 정신을 바짝 차리게 되다.
끔찍하다	보기에 정도가 지나쳐 놀랄 만하다.
낯설다	전에 보거나 만난 적이 없어 모르는 사이이다.
노심초사하다	몹시 마음을 쓰며 걱정하고 애를 태우다.
두렵다	몹시 피하고 싶을 만큼 겁이 나고 무섭다.
몸서리치다	몹시 싫거나 무서워서 온몸이 떨리다.
무섭다	어떤 대상이 꺼려지거나 무슨 일이 일어날까 두렵다.
무시무시하다	공포와 불안을 느끼게 할 정도로 무섭고 끔찍하다.
불안정하다	일정한 상태를 유지하지 못하고 마구 변하거나 흔들리는 상태이다.
불안하다	마음이 편하지 않고 조마조마하다.
살벌하다	말이나 행동 또는 분위기가 매우 사납고 무섭다.
새파래지다	몹시 놀라거나 두려워서 얼굴빛이 파랗게 변하다.
섬뜩하다	갑자기 몹시 무섭고 불안하다.
소름끼치다	공포나 충격 따위로 섬뜩하다.
스산하다	매우 어수선하고 쓸쓸하다.
아슬아슬하다	소름이 돋을 정도로 약간 차가운 느낌이 계속 드는 듯하다.
아찔하다	놀라거나 해서 갑자기 정신이 흐려지고 어지럽다.
안절부절못하다	마음이 초조하고 불안하여 어찌할 바를 모르다.
오싹하다	몹시 무섭거나 추워서 몸이 움츠러들거나 소름이 끼치다.
으스스하다	차갑거나 기분 나쁜 것이 몸에 닿아 크게 소름이 돋다.
을씨년스럽다	날씨나 분위기 등이 쓸쓸하고 썰렁하다.
잔인하다	인정이 없고 아주 매섭고 독하다.
잔혹하다	인정이 없고 모질며 악하다.
조마조마하다	앞으로 닥칠 일이 걱정되어 마음이 초조하고 불안하다.
조바심하다	조마조마하여 마음을 졸이다.
질겁하다	뜻밖의 일에 몸이 움츠러들 정도로 깜짝 놀라다.
초조하다	답답하거나 안타깝거나 걱정이 되어 마음이 조마조마하다.
가볍다	중요성이 적거나 부담이 없는 상태이다.
가뿐하다	몸이나 마음이 가벼워서 움직임이나 상태가 거뜬하고 상쾌하다.
감개무량하다	지난 일이 생각나서 마음속에서 느끼는 감동이 매우 크다.
감격하다	마음에 깊이 느끼어 매우 감동하다.
감동하다	강하게 느껴 마음이 움직이다.
감명깊다	마음속에 기억되도록 감동이 크다.
감미롭다	맛이나 향, 소리, 분위기 등이 달콤하고 부드럽게 느껴지다.
감복하다	진심으로 크게 감동하다.
감사하다	고맙게 여기다.
감회롭다	지난 일을 생각하며 느끼는 회포가 매우 깊은 듯하다.
정감하다	정조와 감흥을 불러일으키다.
경쾌하다	움직임이나 모습, 기분 등이 가볍고 즐겁다.
고맙다	남이 자신을 위해 무엇을 해주어서 마음이 흐뭇하고 보답하고 싶다.
고취되다	생각이나 마음, 의욕 등이 강해지다.
근사하다	모양이나 분위기가 훌륭하거나 멋지다.
기분 좋다	마음에 들거나 원하는 바가 이루어져서 유쾌하고 즐겁다.
기쁘다	기분이 매우 좋고 즐겁다.
낭만적이다	정서적이고 이상적이며 꿈과 환상 같은 분위기를 가지다.
달갑다	마음에 들어 만족스럽다.
대견하다	마음에 들고 자랑스럽다.
두근거리다	놀람, 불안, 기대 등으로 가슴이 자꾸 세고 빠르게 뛰다.
따뜻하다	사람의 태도나 분위기가 친절하고 정감이 있다.
